,cumulative_strategy,cumulative_benchmark
2024-04-30,0.9485358689355459,1.267180628539988
2024-05-01,0.9398772189401466,1.2787480071735349
2024-05-02,0.9280754253317681,1.2948049130689723
2024-05-03,0.9184920034947396,1.3081752290367301
2024-05-06,0.9172580739448052,1.3099326706534877
2024-05-07,0.9172634267126845,1.3099250263865985
2024-05-08,0.9125936865814279,1.3165937861850536
2024-05-09,0.911088455609237,1.3187653744547287
2024-05-10,0.9113083049483647,1.3184471510218083
2024-05-13,0.9068995656563134,1.3248255519731005
2024-05-14,0.8962743957483261,1.340347112597038
2024-05-15,0.8981401412908651,1.3375569551824722
2024-05-16,0.897094011445779,1.3391149060923464
2024-05-17,0.8962719235207821,1.340342057517321
2024-05-20,0.8940295638797248,1.3436954247891444
2024-05-21,0.8964489178802889,1.3400592196424197
2024-05-22,0.9030654186272333,1.3301685246447847
2024-05-23,0.8967430191715211,1.3394810911352655
2024-05-24,0.8965199078467456,1.33981435651271
2024-05-28,0.903124611704707,1.3299438818339433
2024-05-29,0.9085208133977324,1.3219974198133428
2024-05-30,0.9012273207782325,1.332610251442755
2024-05-31,0.9002214766642846,1.3340975545312175
2024-06-03,0.8988686156449642,1.3361024484648567
2024-06-04,0.8882191350765861,1.3519321223622809
2024-06-05,0.8883966160358622,1.3516619838339863
2024-06-06,0.8893873734701576,1.3501545837212827
2024-06-07,0.8870919939187768,1.3536391364764955
2024-06-10,0.8846876363536513,1.35730801469944
2024-06-11,0.8771645421709732,1.3688501179344015
2024-06-12,0.87510789319253,1.3720596003762293
2024-06-13,0.8754525637977314,1.3715192000250123
2024-06-14,0.8687427569298568,1.38203105335471
2024-06-17,0.8665523720178226,1.3855156061099225
2024-06-18,0.8687412242516305,1.3820158881155586
2024-06-20,0.8700983112592244,1.3798569991924898
2024-06-21,0.8727653121487744,1.3756275002994598
2024-06-24,0.8693322112308246,1.3810386549000109
2024-06-25,0.8679652461385288,1.383210243169686
2024-06-26,0.8671777228491072,1.3844652591804179
2024-06-27,0.8707189753973265,1.378811584048075
2024-06-28,0.8683893111127862,1.382500682589888
2024-07-01,0.8630093633072436,1.3910657137553792
2024-07-02,0.8586214401743892,1.398138510047318
2024-07-03,0.853943013569666,1.4057566384755635
2024-07-05,0.8530748105918133,1.4071858697945936
2024-07-08,0.8524426207901316,1.4082286957518362
2024-07-09,0.843740830858131,1.422603986226272
2024-07-10,0.8511345560933717,1.4101376664654786
2024-07-11,0.8464388237034212,1.4179174341500431
2024-07-12,0.8440466160777863,1.4219247561247768
2024-07-15,0.8386536853092219,1.4310099673226169
2024-07-16,0.8503340707764234,1.411079514123007
2024-07-17,0.8569806253549395,1.4000499466535052
2024-07-18,0.8630996945756905,1.3900532182764391
2024-07-19,0.8537850919028352,1.405054722162655
2024-07-22,0.8551153766656366,1.4028655027612837
2024-07-23,0.874910522691185,1.3703904377125795
2024-07-24,0.8794098552514777,1.3633430401138533
2024-07-25,0.8696567877748367,1.3784631534314795
2024-07-26,0.8689494871003307,1.379584271477023
2024-07-29,0.8732596259096744,1.3727412963702699
2024-07-30,0.8594678885047276,1.3944215469197478
2024-07-31,0.8712370146087463,1.3753270312928627
2024-08-01,0.8872519721949429,1.3500459611546796
2024-08-02,0.913841847669576,1.3095867059294375
2024-08-05,0.9043798506980115,1.323146279150017
2024-08-06,0.911374910373486,1.3129122086155034
2024-08-07,0.8903744523654619,1.3431651345973619
2024-08-08,0.8862149106489257,1.3494399680617677
2024-08-09,0.8861767732962631,1.3494980398312002
2024-08-12,0.8712468394324033,1.372233815684527
2024-08-13,0.867915428124158,1.3774808651362143
2024-08-14,0.8539131334837459,1.3997041052240815
2024-08-15,0.8522140347578455,1.4024892075589304
2024-08-16,0.8439285672551362,1.416124606975266
2024-08-19,0.8456033902490595,1.413314229241832
2024-08-20,0.842018305149081,1.4193062248313364
2024-08-21,0.849539890936936,1.4066278383116804
2024-08-22,0.8397843093173375,1.4227806674271148
2024-08-23,0.8424327595101101,1.418293606057769
2024-08-26,0.8410889140689622,1.4205560624677243
2024-08-27,0.846115238884964,1.412066857497989
2024-08-28,0.8461485581145431,1.4120112516211014
2024-08-29,0.8376083369086385,1.426262754289783
2024-08-30,0.8553246531587366,1.3960957646631147
2024-09-03,0.8566953481912506,1.3938584603571178
2024-09-04,0.8592808698432813,1.3896517709701282
2024-09-05,0.8741122723560798,1.3656660341857862
2024-09-06,0.8639899908074145,1.381480542844059
2024-09-09,0.860125646403203,1.3876594530884678
2024-09-10,0.850952384116609,1.4024588770806283
2024-09-11,0.8445742387045948,1.412970730410326
2024-09-12,0.840007024961275,1.4206116683446122
2024-09-13,0.8389514471303441,1.4223968512524998
2024-09-16,0.8387295024569679,1.4227731464548532
